Year,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
2000,Shaquille O'Neal,27,LAL,120,1207.0,1210.0,0.998,79.0,40.0,29.7,13.6,3.8,0.5,3.0,0.574,0.0,0.524,18.6,0.283
2000,Kevin Garnett,23,MIN,0,408.0,1210.0,0.337,81.0,40.0,22.9,11.8,5.0,1.5,1.6,0.497,0.37,0.765,11.6,0.172
2000,Alonzo Mourning,29,MIA,0,367.0,1210.0,0.303,79.0,34.8,21.7,9.5,1.6,0.5,3.7,0.551,0.0,0.711,12.9,0.226
2000,Karl Malone,36,UTA,0,312.0,1210.0,0.258,82.0,35.9,25.5,9.5,3.7,1.0,0.9,0.509,0.25,0.797,15.3,0.249
2000,Tim Duncan,23,SAS,0,248.0,1210.0,0.205,74.0,38.9,23.2,12.4,3.2,0.9,2.2,0.49,0.091,0.761,13.0,0.218
2000,Gary Payton,31,SEA,0,180.0,1210.0,0.149,82.0,41.8,24.2,6.5,8.9,1.9,0.2,0.448,0.34,0.735,13.9,0.195
2000,Allen Iverson,24,PHI,1,132.0,1210.0,0.109,70.0,40.8,28.4,3.8,4.7,2.1,0.1,0.421,0.341,0.713,6.9,0.116
2000,Grant Hill,27,DET,0,113.0,1210.0,0.093,74.0,37.5,25.8,6.6,5.2,1.4,0.6,0.489,0.347,0.795,10.7,0.185
2000,Chris Webber,26,SAC,0,96.0,1210.0,0.079,75.0,38.4,24.5,10.5,4.6,1.6,1.7,0.483,0.284,0.751,10.7,0.179
2000,Vince Carter,23,TOR,0,51.0,1210.0,0.042,82.0,38.1,25.7,5.8,3.9,1.3,1.1,0.465,0.403,0.791,11.8,0.182
2001,Allen Iverson,25,PHI,93,1121.0,1240.0,0.904,71.0,42.0,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19
2001,Tim Duncan,24,SAS,18,706.0,1240.0,0.569,82.0,38.7,22.2,12.2,3.0,0.9,2.3,0.499,0.259,0.618,13.2,0.2
2001,Shaquille O'Neal,28,LAL,7,578.0,1240.0,0.466,74.0,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0.0,0.513,14.9,0.245
2001,Chris Webber,27,SAC,5,521.0,1240.0,0.42,70.0,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11.0,0.186
2001,Kevin Garnett,24,MIN,1,151.0,1240.0,0.122,81.0,39.5,22.0,11.4,5.0,1.4,1.8,0.477,0.288,0.764,11.8,0.176
2001,Tracy McGrady,21,ORL,0,64.0,1240.0,0.052,77.0,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189
2001,Karl Malone,37,UTA,0,21.0,1240.0,0.017,81.0,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217
2001,Jason Kidd,27,PHO,0,18.0,1240.0,0.015,77.0,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15
2001,Kobe Bryant,22,LAL,0,11.0,1240.0,0.009,68.0,40.9,28.5,5.9,5.0,1.7,0.6,0.464,0.305,0.853,11.3,0.196
2001,David Robinson,35,SAS,0,8.0,1240.0,0.006,80.0,29.6,14.4,8.6,1.5,1.0,2.5,0.486,0.0,0.747,12.1,0.246
2002,Tim Duncan,25,SAS,57,954.0,1260.0,0.757,82.0,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257
2002,Jason Kidd,28,NJN,45,897.0,1260.0,0.712,82.0,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14
2002,Shaquille O'Neal,29,LAL,15,696.0,1260.0,0.552,67.0,36.1,27.2,10.7,3.0,0.6,2.0,0.579,0.0,0.555,13.2,0.262
2002,Tracy McGrady,22,ORL,7,390.0,1260.0,0.31,76.0,38.3,25.6,7.9,5.3,1.6,1.0,0.451,0.364,0.748,11.5,0.189
2002,Kobe Bryant,23,LAL,1,98.0,1260.0,0.078,80.0,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199
2002,Gary Payton,33,SEA,1,54.0,1260.0,0.043,82.0,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6,0.183
2002,Chris Webber,28,SAC,0,37.0,1260.0,0.029,54.0,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2
2002,Dirk Nowitzki,23,DAL,0,31.0,1260.0,0.025,76.0,38.0,23.4,9.9,2.4,1.1,1.0,0.477,0.397,0.853,13.4,0.222
2002,Allen Iverson,26,PHI,0,29.0,1260.0,0.023,60.0,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126
2002,Ben Wallace,27,DET,0,24.0,1260.0,0.019,80.0,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19
2003,Tim Duncan,26,SAS,60,962.0,1190.0,0.808,81.0,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248
2003,Kevin Garnett,26,MIN,43,871.0,1190.0,0.732,82.0,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.751,15.6,0.225
2003,Kobe Bryant,24,LAL,8,496.0,1190.0,0.417,82.0,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21
2003,Tracy McGrady,23,ORL,4,427.0,1190.0,0.359,75.0,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262
2003,Shaquille O'Neal,30,LAL,3,126.0,1190.0,0.106,67.0,37.8,27.5,11.1,3.1,0.6,2.4,0.574,0.333,0.622,13.2,0.25
2003,Allen Iverson,27,PHI,0,83.0,1190.0,0.07,82.0,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127
2003,Dirk Nowitzki,24,DAL,0,43.0,1190.0,0.036,80.0,39.0,25.1,9.9,3.0,1.4,1.0,0.463,0.379,0.881,16.1,0.249
2003,Ben Wallace,28,DET,1,33.0,1190.0,0.028,73.0,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176
2003,Jason Kidd,29,NJN,0,31.0,1190.0,0.026,80.0,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182
2003,Chris Webber,29,SAC,0,19.0,1190.0,0.016,67.0,39.1,23.0,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127
2004,Kevin Garnett,27,MIN,120,1219.0,1230.0,0.991,82.0,39.4,24.2,13.9,5.0,1.5,2.2,0.499,0.256,0.791,18.3,0.272
2004,Tim Duncan,27,SAS,0,716.0,1230.0,0.582,69.0,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249
2004,Jermaine O'Neal,25,IND,2,523.0,1230.0,0.425,78.0,35.7,20.1,10.0,2.1,0.8,2.6,0.434,0.111,0.757,9.0,0.155
2004,Peja StojakoviÄ,26,SAC,1,281.0,1230.0,0.228,81.0,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198
2004,Kobe Bryant,25,LAL,0,212.0,1230.0,0.172,65.0,37.6,24.0,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21
2004,Shaquille O'Neal,31,LAL,0,178.0,1230.0,0.145,67.0,36.8,21.5,11.5,2.9,0.5,2.5,0.584,0.3332,0.49,9.9,0.192
2004,Ben Wallace,29,DET,0,24.0,1230.0,0.02,81.0,37.7,9.5,12.4,1.7,1.8,3.0,0.421,0.125,0.49,10.2,0.16
2004,Jason Kidd,30,NJN,0,17.0,1230.0,0.014,67.0,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141
2004,LeBron James,19,CLE,0,11.0,1230.0,0.009,79.0,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078
2004,Sam Cassell,34,MIN,0,4.0,1230.0,0.003,81.0,35.0,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205
2005,Steve Nash,30,PHO,65,1066.0,1270.0,0.839,75.0,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203
2005,Shaquille O'Neal,32,MIA,58,1032.0,1270.0,0.813,73.0,34.1,22.9,10.4,2.7,0.5,2.3,0.601,0.3418,0.461,11.0,0.211
2005,Dirk Nowitzki,26,DAL,0,349.0,1270.0,0.275,78.0,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248
2005,Tim Duncan,28,SAS,1,328.0,1270.0,0.258,66.0,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245
2005,Allen Iverson,29,PHI,2,240.0,1270.0,0.189,75.0,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0,0.136
2005,LeBron James,20,CLE,0,93.0,1270.0,0.073,80.0,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203
2005,Tracy McGrady,25,HOU,0,44.0,1270.0,0.035,78.0,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12.0,0.18
2005,Dwyane Wade,23,MIA,0,43.0,1270.0,0.034,77.0,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177
2005,Amar'e Stoudemire,22,PHO,1,41.0,1270.0,0.032,80.0,36.1,26.0,8.9,1.6,1.0,1.6,0.559,0.188,0.733,14.6,0.243
2005,Ray Allen,29,SEA,0,41.0,1270.0,0.032,78.0,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168
2006,Steve Nash,31,PHO,57,924.0,1250.0,0.739,79.0,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212
2006,LeBron James,21,CLE,16,688.0,1250.0,0.55,79.0,42.5,31.4,7.0,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232
2006,Dirk Nowitzki,27,DAL,14,544.0,1250.0,0.435,81.0,38.1,26.6,9.0,2.8,0.7,1.0,0.48,0.406,0.901,17.7,0.275
2006,Kobe Bryant,27,LAL,22,483.0,1250.0,0.386,80.0,41.0,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224
2006,Chauncey Billups,29,DET,15,430.0,1250.0,0.344,81.0,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254
2006,Dwyane Wade,24,MIA,0,87.0,1250.0,0.07,75.0,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239
2006,Elton Brand,26,LAC,1,50.0,1250.0,0.04,79.0,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.333,0.775,14.8,0.229
2006,Tim Duncan,29,SAS,0,33.0,1250.0,0.026,80.0,34.8,18.6,11.0,3.2,0.9,2.0,0.484,0.4,0.629,10.8,0.187
2006,Tony Parker,23,SAS,0,9.0,1250.0,0.007,80.0,33.9,18.9,3.3,5.8,1.0,0.1,0.548,0.306,0.707,9.6,0.169
2006,Allen Iverson,30,PHI,0,1.0,1250.0,0.001,72.0,43.1,33.0,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165
2007,Dirk Nowitzki,28,DAL,83,1138.0,1290.0,0.882,78.0,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278
2007,Steve Nash,32,PHO,44,1013.0,1290.0,0.785,76.0,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225
2007,Kobe Bryant,28,LAL,2,521.0,1290.0,0.404,77.0,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13.0,0.199
2007,Tim Duncan,30,SAS,0,286.0,1290.0,0.222,80.0,34.1,20.0,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13.0,0.23
2007,LeBron James,22,CLE,0,183.0,1290.0,0.142,78.0,40.9,27.3,6.7,6.0,1.6,0.7,0.476,0.319,0.698,13.7,0.206
2007,Tracy McGrady,27,HOU,0,110.0,1290.0,0.085,71.0,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163
2007,Chris Bosh,22,TOR,0,43.0,1290.0,0.033,69.0,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174
2007,Gilbert Arenas,25,WAS,0,31.0,1290.0,0.024,74.0,39.8,28.4,4.6,6.0,1.9,0.2,0.418,0.351,0.844,10.8,0.177
2007,Carlos Boozer,25,UTA,0,7.0,1290.0,0.005,74.0,34.6,20.9,11.7,3.0,0.9,0.3,0.561,0.28559999999999997,0.685,9.9,0.185
2007,Kevin Garnett,30,MIN,0,7.0,1290.0,0.005,76.0,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171
2008,Kobe Bryant,29,LAL,82,1100.0,1260.0,0.873,82.0,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208
2008,Chris Paul,22,NOH,28,894.0,1260.0,0.71,80.0,37.6,21.1,4.0,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284
2008,Kevin Garnett,31,BOS,15,670.0,1260.0,0.532,71.0,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0.0,0.801,12.9,0.265
2008,LeBron James,23,CLE,1,438.0,1260.0,0.348,75.0,40.4,30.0,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242
2008,Dwight Howard,22,ORL,0,60.0,1260.0,0.048,82.0,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0.0,0.59,12.9,0.2
2008,Amar'e Stoudemire,25,PHO,0,27.0,1260.0,0.021,79.0,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262
2008,Tim Duncan,31,SAS,0,25.0,1260.0,0.02,78.0,34.0,19.3,11.3,2.8,0.7,1.9,0.497,0.0,0.73,11.1,0.201
2008,Tracy McGrady,28,HOU,0,19.0,1260.0,0.015,66.0,37.0,21.6,5.1,5.9,1.0,0.5,0.419,0.292,0.684,5.8,0.115
2008,Steve Nash,33,PHO,0,18.0,1260.0,0.014,81.0,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181
2008,Manu GinÃ³bili,30,SAS,0,9.0,1260.0,0.007,74.0,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232
2009,LeBron James,24,CLE,109,1172.0,1210.0,0.969,81.0,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318
2009,Kobe Bryant,30,LAL,2,698.0,1210.0,0.577,82.0,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206
2009,Dwyane Wade,27,MIA,7,680.0,1210.0,0.562,79.0,38.6,30.2,5.0,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232
2009,Dwight Howard,23,ORL,1,328.0,1210.0,0.271,79.0,35.7,20.6,13.8,1.4,1.0,2.9,0.572,0.0,0.594,13.8,0.234
2009,Chris Paul,23,NOH,2,192.0,1210.0,0.159,78.0,38.5,22.8,5.5,11.0,2.8,0.1,0.503,0.364,0.868,18.3,0.292
2009,Chauncey Billups,32,TOT,0,33.0,1210.0,0.027,79.0,35.3,17.7,3.0,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174
2009,Paul Pierce,31,BOS,0,21.0,1210.0,0.017,81.0,37.5,20.5,5.6,3.6,1.0,0.3,0.457,0.391,0.83,10.3,0.164
2009,Tony Parker,26,SAS,0,9.0,1210.0,0.007,72.0,34.1,22.0,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168
2009,Brandon Roy,24,POR,0,7.0,1210.0,0.006,78.0,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223
2009,Dirk Nowitzki,30,DAL,0,3.0,1210.0,0.002,81.0,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171
2010,LeBron James,25,CLE,116,1205.0,1230.0,0.98,76.0,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.333,0.767,18.5,0.299
2010,Kevin Durant,21,OKC,4,609.0,1230.0,0.495,82.0,39.5,30.1,7.6,2.8,1.4,1.0,0.476,0.365,0.9,16.1,0.238
2010,Kobe Bryant,31,LAL,0,599.0,1230.0,0.487,73.0,38.8,27.0,5.4,5.0,1.5,0.3,0.456,0.329,0.811,9.4,0.16
2010,Dwight Howard,24,ORL,3,478.0,1230.0,0.389,82.0,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.592,13.2,0.223
2010,Dwyane Wade,28,MIA,0,119.0,1230.0,0.097,77.0,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13.0,0.224
2010,Carmelo Anthony,25,DEN,0,65.0,1230.0,0.053,69.0,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145
2010,Dirk Nowitzki,31,DAL,0,55.0,1230.0,0.045,81.0,37.5,25.0,7.7,2.7,0.9,1.0,0.481,0.421,0.915,12.3,0.194
2010,Steve Nash,35,PHO,0,49.0,1230.0,0.04,81.0,32.8,16.5,3.3,11.0,0.5,0.1,0.507,0.426,0.938,9.9,0.178
2010,Deron Williams,25,UTA,0,7.0,1230.0,0.006,76.0,36.9,18.7,4.0,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177
2010,Amar'e Stoudemire,27,PHO,0,5.0,1230.0,0.004,82.0,34.6,23.1,8.9,1.0,0.6,1.0,0.557,0.167,0.771,10.7,0.181
2011,Derrick Rose,22,CHI,113,1182.0,1210.0,0.977,81.0,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.208
2011,Dwight Howard,25,ORL,3,643.0,1210.0,0.531,78.0,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235
2011,LeBron James,26,MIA,4,522.0,1210.0,0.431,79.0,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6,0.244
2011,Kobe Bryant,32,LAL,1,428.0,1210.0,0.354,82.0,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178
2011,Kevin Durant,22,OKC,0,190.0,1210.0,0.157,78.0,38.9,27.7,6.8,2.7,1.1,1.0,0.462,0.35,0.88,12.0,0.189
2011,Dirk Nowitzki,32,DAL,0,113.0,1210.0,0.093,73.0,34.3,23.0,7.0,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213
2011,Dwyane Wade,29,MIA,0,24.0,1210.0,0.02,76.0,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218
2011,Manu GinÃ³bili,33,SAS,0,20.0,1210.0,0.017,80.0,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195
2011,Amar'e Stoudemire,28,NYK,0,9.0,1210.0,0.007,78.0,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8.0,0.134
